full_name,name,description,num_developers,total_commits,languages,primary_language,first_commit_date,last_commit_date,license_spdx,license_name,is_osi_approved,topics,has_contributing,has_code_of_conduct,has_governance,has_readme,has_issue_template,has_pr_template,health_percentage,stars,watchers,forks,cloud_detected,cloud_signals,ai_ml_detected,ai_ml_signals,has_ci_cd,ci_cd_workflows,deployments_count,created_at,updated_at,pushed_at,size_kb
CodeForAfrica/ui,ui,,19,10863,JavaScript=7188326;TypeScript=449466;Dockerfile=50649;CSS=25214;MDX=19585;HTML=8406;HCL=4801;Shell=2689;Makefile=1050;SCSS=483,JavaScript,2022-07-13T08:26:07+00:00,2026-04-16T07:45:54+00:00,MIT,MIT License,True,react;mui;nextjs;docker;monorepo;turborepo,False,False,False,True,False,True,37,2,4,2,True,topic:docker;language:HCL;language:Dockerfile;file:Dockerfile;file:docker-compose.yml,False,,True,.github/workflows/bake-and-push.yml;Build Base Images;Build Docker Image;charterAFRICA | Deploy | DEV;charterAFRICA | Deploy | PROD;CI;CivicSignal Blog | Deploy | PROD;Claude Code Review;Claude Code;Climate Mapped Africa | Deploy | DEV;Code for Africa | Deploy | DEV;Code for Africa | Deploy | PROD;Code for Africa | Deploy | REVIEW APP;Dependabot lint-format;Pesayetu | Deploy | DEV;Push to Dokku;Release | PROD;RoboShield | Deploy | DEV;RoboShield | Deploy | PROD;TechLab Blog | Deploy | DEV;TechLab Blog;TrustLab | Deploy | DEV;TrustLab | Deploy | PROD;TrustLab;TwoopsTracker | Deploy | Dev;VPN Manager | Deploy | DEV;Copilot coding agent;Dependabot Updates;CodeQL,2801,2022-03-03T11:17:40+00:00,2026-04-16T07:46:00+00:00,2026-04-20T08:11:49+00:00,168584
CodeForAfrica/sensors.AFRICA,sensors.AFRICA,"sensors.AFRICA is a citizen-science focused project by Code for Africa that seeks to address data gaps by providing low cost sensors, which people can use to measure and monitor the quality of the air, water, and sound in their communities.",19,1271,JavaScript=291028;Dockerfile=3052;CSS=2273,JavaScript,2018-03-23T08:27:36+00:00,2025-09-17T15:48:45+00:00,GPL-3.0,GNU General Public License v3.0,False,sensors-africa;sensors;sensor-data-collection;air-quality;air-quality-sensor;air-quality-measurements;africa;nairobi;kenya;dar-es-salaam;tanzania;lagos;nigeria;abuja;kampala;uganda,True,False,False,True,True,True,62,23,8,10,True,language:Dockerfile;file:Dockerfile,False,,True,main;Dependabot Updates;CodeQL,425,2018-05-16T15:21:48+00:00,2025-12-28T20:43:24+00:00,2026-04-20T06:56:20+00:00,23511
codeforamerica/form-flow,form-flow,A Java library placed in a Spring Boot app to generate form flows.,18,1332,Java=753577;HTML=453780;CSS=31040;JavaScript=12201;Shell=4389,Java,2022-09-21T17:03:04+00:00,2026-04-12T21:19:30+00:00,NOASSERTION,Other,False,,False,False,False,True,False,True,50,4,6,0,False,,False,,True,Create Pre-Release;Publish Snapshot to Sonatype;Create Release;Run tests;Dependabot Updates;CodeQL,0,2022-09-21T17:02:31+00:00,2026-04-12T21:19:37+00:00,2026-04-17T10:53:01+00:00,15965
codeforamerica/vita-min,vita-min,"FileYourStateTaxes, GetYourRefund, & GetCTC code, originally named b/c it helps VITA in a minimal way",50,7221,Ruby=8005148;HTML=981192;SCSS=157367;JavaScript=111502;Shell=9205;Dockerfile=3610;Procfile=204,Ruby,2019-11-05T00:58:18+00:00,2026-04-18T00:25:38+00:00,MIT,MIT License,True,tax-benefits,False,False,False,True,False,True,50,33,8,14,True,language:Dockerfile;file:Dockerfile;file:docker-compose.yml;file:Procfile,False,,True,Heroku Pull Request;Heroku Teardown Pull Request;Publish Latest Release;Security Scan;Tag and Release;Dependabot Updates;CodeQL,2061,2019-11-05T01:00:00+00:00,2026-04-18T00:25:43+00:00,2026-04-18T01:03:43+00:00,86359
codeforamerica/tofu-modules-aws-serverless-database,tofu-modules-aws-serverless-database,OpenTofu module to create a manage an AWS Aurora serverless database.,3,40,HCL=28579;Shell=20327,HCL,2024-08-07T17:46:12+00:00,2026-03-24T15:39:21+00:00,MIT,MIT License,True,,True,False,False,True,False,False,62,0,3,0,True,language:HCL,False,,True,CodeQL;Release New Version;ShellCheck;TFLint Checks;Trivy Analysis;Copilot code review,0,2024-12-05T18:22:23+00:00,2026-03-24T15:39:26+00:00,2026-03-24T15:39:23+00:00,79
codeforamerica/tax-benefits-backend,tax-benefits-backend,Infrastructure configuration for the Tax Benefits backend.,9,182,HCL=117396;Dockerfile=299,HCL,2024-04-12T19:06:39+00:00,2026-04-09T23:02:01+00:00,MIT,MIT License,True,tax-benefits,False,False,False,True,False,False,37,3,7,0,True,language:HCL;language:Dockerfile;file:Dockerfile;file:docker-compose.yaml,False,,True,Branch Checks;CodeQL;Deploy infrastructure;Deploy documentation;Main Checks;Plan infrastructure changes;Redeploy bastion,1067,2024-04-12T19:06:38+00:00,2026-04-09T23:02:05+00:00,2026-04-14T22:38:34+00:00,1018
codeforamerica/pya,pya,FYST Prior Year Access - for clients retrieving a pdf of a past tax return,9,256,Ruby=205293;SCSS=47167;HTML=32893;JavaScript=16425;Shell=4533;Dockerfile=2516;CSS=491,Ruby,2025-05-21T20:41:28+00:00,2026-04-15T16:55:08+00:00,,,False,tax-benefits,False,False,False,True,False,True,37,2,2,0,True,language:Dockerfile;file:Dockerfile,False,,True,Run Linter and Tests;Deploy to AWS Production;Deploy to AWS Staging;Standard Ruby Linter;Dependabot Updates,751,2025-05-21T20:30:02+00:00,2026-04-15T16:55:13+00:00,2026-04-16T14:45:46+00:00,16891
codeforamerica/honeycrisp-gem,honeycrisp-gem,A Rails gem with base styles and Javascript for Code for America products,30,415,Ruby=134650;HTML=96213;SCSS=85858;JavaScript=13699;Shell=131,Ruby,2018-07-26T22:31:22+00:00,2026-01-08T19:36:21+00:00,NOASSERTION,Other,False,,False,False,False,True,False,False,37,7,11,1,False,,False,,True,Dependabot Updates,381,2018-07-26T22:33:06+00:00,2026-01-10T23:11:25+00:00,2026-04-08T09:38:18+00:00,24179
codeforamerica/asap_pdf,asap_pdf,This app helps you to manage your PDF accessibility audit workflows.,5,603,Ruby=188534;HTML=146758;Python=128742;HCL=57929;JavaScript=32091;Shell=14538;Dockerfile=6260;CSS=2388,Ruby,2025-01-31T21:38:58+00:00,2026-04-09T15:00:06+00:00,Apache-2.0,Apache License 2.0,True,,False,False,False,True,False,True,50,46,7,7,True,language:HCL;language:Dockerfile;file:Dockerfile;file:docker-compose.yml,False,,True,CI;CI;Deploy to AWS;AI Evaluation Suite;Tofu Plan;Python Component Linting and Tests;Rspec Tests;Dependabot Updates,1732,2025-01-31T21:38:33+00:00,2026-04-15T18:04:36+00:00,2026-04-16T11:54:52+00:00,86899
codeforamerica/cmr-maryland-eligibility-determination,cmr-maryland-eligibility-determination,Maryland Eligibility Determination,1,49,Python=39611,Python,2025-03-04T21:42:06+00:00,2026-01-27T21:40:07+00:00,,,False,,False,False,False,True,False,False,25,1,5,0,False,,False,,False,,0,2025-03-04T21:40:06+00:00,2026-01-27T21:40:12+00:00,2026-01-27T21:40:08+00:00,53
codeforamerica/document-transfer-service,document-transfer-service,Microservice to securely transfer documents.,1,13,Ruby=122377;Dockerfile=671,Ruby,2024-05-07T15:36:24+00:00,2025-07-02T20:15:15+00:00,MIT,MIT License,True,,False,False,False,True,False,True,62,3,5,1,True,language:Dockerfile;file:Dockerfile;file:docker-compose.yaml,False,,True,Branch Checks;CodeQL;Deploy documentation;Main Checks;Pull Request Checks;Dependabot Updates,14,2024-05-07T15:36:24+00:00,2026-01-10T23:13:30+00:00,2025-07-02T20:15:17+00:00,104
markov-root/atlas,atlas,,2,48,Astro=217233;TypeScript=144089;Typst=5722;CSS=3775;JavaScript=1854;Dockerfile=1195,Astro,2026-01-10T01:46:11+00:00,2026-03-26T15:02:36+00:00,,,False,,False,False,False,False,False,False,0,8,0,5,True,language:Dockerfile;file:Dockerfile,False,,True,Deploy;pages-build-deployment,104,2025-05-27T00:19:24+00:00,2026-03-26T15:06:52+00:00,2026-03-26T15:02:55+00:00,1665351
fvialibre/heseia-sentence-bias-dataset,heseia-sentence-bias-dataset,,1,9,,,2025-05-20T19:55:17+00:00,2025-09-11T22:00:12+00:00,,,False,,False,False,False,True,False,False,14,0,3,0,False,,False,,False,,0,2025-01-16T14:13:31+00:00,2025-09-11T22:00:18+00:00,2025-09-11T22:00:14+00:00,1691
codeforjapan/BirdXplorer,BirdXplorer,,9,711,Python=743078;Shell=47260;Dockerfile=1974;Mako=635,Python,2023-09-24T01:43:12+00:00,2026-04-13T09:23:46+00:00,MIT,MIT License,True,,False,False,False,True,False,False,50,11,5,4,True,language:Dockerfile,False,,True,Deploy CDK Stack;Release;Claude PR Assistant;Deploy API (dev);Deploy ETL Lambda (dev);Main;Release to Production;Project test,0,2023-09-06T08:59:29+00:00,2026-04-13T09:23:51+00:00,2026-04-13T09:23:48+00:00,2075
meshtastic/Meshtastic-Android,Meshtastic-Android,Android application for Meshtastic,102,6368,Kotlin=5628711;Java=17084;AIDL=8738;Python=3364;Ruby=1703,Kotlin,2020-01-20T23:53:22+00:00,2026-04-19T20:07:52+00:00,GPL-3.0,GNU General Public License v3.0,False,gps;lora;android;meshtastic,True,True,False,True,False,True,100,1552,43,441,False,,False,,True,"Make Release;CodeQL;Close Stale Issues;Dependabot Updates;Pull Request CI;Android CI (Merge Queue);Scheduled Updates (Firmware, Hardware, Translations);Check PR Labels;Pull Request Labeler;Copilot cloud agent;Deploy Documentation;Create or Promote Release;Promote Release;Post-Release Cleanup;Copilot code review;AI Moderator;Main Push Changelog;Issue Triage (Models);PR Triage (Models);Reusable Android Check;Publish Core Libraries;Main CI (Verify & Build);Screenshot Tests;Dependency Submission",1748,2020-01-20T23:55:32+00:00,2026-04-19T20:26:21+00:00,2026-04-20T08:48:36+00:00,54049
meshtastic/web,web,Meshtastic Web Client/JS Monorepo,73,1512,TypeScript=1119274;CSS=7879;HTML=1001;Dockerfile=317,TypeScript,2021-04-05T23:29:12+00:00,2026-03-17T01:35:36+00:00,GPL-3.0,GNU General Public License v3.0,False,meshtastic;mesh;react;self-hosted,False,False,False,True,False,True,50,752,24,275,True,language:Dockerfile,False,,True,Push to Main CI;Crowdin Download Translations Action;Crowdin Upload Sources Action;Crowdin Upload Translations Action;Close inactive issues;Nightly Release;Pull Request CI;Release Packages;Create Protobuf Release for JSR;Release Web;Update Stable Branch from Main on Latest Release;Copilot code review;Dependabot Updates,1492,2021-08-05T23:04:39+00:00,2026-04-19T15:50:25+00:00,2026-04-19T00:20:03+00:00,8900
meshtastic/firmware,firmware,"The official firmware for Meshtastic, an open-source, off-grid mesh communication system.",410,11691,C++=5415781;C=2332169;Python=557360;Shell=36856;Batchfile=19811;Dockerfile=9106;Linker Script=6306;PowerShell=4466;Nix=2244;JavaScript=280;Assembly=170,C++,2020-02-01T16:30:53+00:00,2026-04-19T21:05:28+00:00,GPL-3.0,GNU General Public License v3.0,False,gps;lora;hiking;ttgo-tbeam;heltec;meshtastic;ttgo;esp32;nrf52;mesh-networks;off-grid;mesh;pico;rp2040;stm32,True,True,False,True,False,True,100,7310,149,2253,True,language:Dockerfile;file:Dockerfile;file:docker-compose.yml,False,,True,Update protobufs and regenerate classes;CI;Semgrep Differential Scan;Semgrep Full Scan;Nightly;process stale Issues and PR's;Run Tests on Native platform;Build Debian Source Package;Package for Launchpad PPA;Trigger release workflows upon Publish;Package for OpenSUSE Build Service;Trigger COPR build;Daily Packaging;Build Docker;Build Docker Multi-Arch Manifest;Package PlatformIO Library Dependencies;Pull Request;Annotate PR with trunk issues;Check PR Labels;Build;Build One Target;Tests;Copilot code review;Welcome First-Time Contributor;Contribution Quality Check;Issue Triage (Models);PR Triage (Models);Copilot cloud agent;End to end tests,0,2020-02-01T17:00:35+00:00,2026-04-20T10:32:51+00:00,2026-04-20T09:55:14+00:00,66517
civiform/civiform,civiform,"CiviForm simplifies the application process for government benefits programs by re-using applicant data for multiple benefits applications. It's being developed by Google.org and Exygy, in collaboration with the City of Seattle and community contributors.",91,7745,Java=8544751;TypeScript=1918024;HTML=427215;Python=163606;Ruby=107914;Teal=93017;Shell=91176;SCSS=40120;Scala=20316;JavaScript=16973;PLpgSQL=10024;Dockerfile=9714;CSS=5443;Jinja=1938,Java,2021-01-06T01:24:43+00:00,2026-04-16T16:48:34+00:00,Apache-2.0,Apache License 2.0,True,seattle;civic-tech;government;public-interest-technology,True,True,False,True,False,True,100,124,13,89,True,language:Dockerfile;file:Dockerfile;file:docker-compose.yml,False,,True,Format;CodeQL Advanced;Server - On PR to Main;Skip Server - On PR to Main;Scorecards supply-chain security;Tests;Skip Tests;On Push to Main;Create Release;Build and Push Docker Images;Add New Issues to Project;Env Variable Docs - Validate;Auto Author Assign;Env Variable Docs - Generate;Auto Request Review;Labeler;Build a server image from a branch;Generate SBOM;Run JMeter Test;Scan for Secrets;Dependabot Updates;Codespaces Prebuilds;Copilot coding agent;Translations Context Reminder;Copilot code review;Run Performance Regression Test;Community Contributor Response,0,2021-01-06T01:24:42+00:00,2026-04-16T16:48:38+00:00,2026-04-20T01:20:46+00:00,943058
iiab/iiab,iiab,Internet-in-a-Box - Build your own LIBRARY OF ALEXANDRIA with a Raspberry Pi !,27,14577,Jinja=443126;Shell=315290;JavaScript=108357;Python=92569;Erlang=22394;CSS=11197;PHP=11146;HTML=9250,Jinja,2017-05-27T18:09:50+00:00,2026-04-19T16:59:03+00:00,GPL-2.0,GNU General Public License v2.0,False,learning;hotspot;library;scraping;raspberry-pi;knowledge;medical;prisoners-rights;human-rights;curriculum-design;diy;community-networks;mesh-networks;privacy;civic-tech;offline;home-school;international-development;distraction-free;education,True,False,False,True,True,True,62,1845,26,130,False,,False,,True,"""20 min"" IIAB with local_vars_small on Ubuntu 24.04 on x86-64;""30 min"" IIAB ""MEDICAL"" on RasPiOS on Zero 2 W;""40 min"" IIAB ""NONE"" on RasPiOS on Zero 2 W;""40 min"" IIAB ""UNITTEST"" on Debian 12 on RPi 3;""40 min"" IIAB ""FULL"" on Ubuntu 24.04 on x86-64;""40 min"" IIAB ""FULL"" on Ubuntu 25.10 on x86-64;Build RaspberryPi OS sdcard image;.github/workflows/roles-ci.yml;IIAB IMAGE on RPiOS Lite Latest;""40 min"" IIAB ""UNITTEST"" on Debian 12 on RPi 3;""40 min"" IIAB ""NONE"" on RasPiOS on Zero 2 W;IIAB Lite IMAGE on RPiOS Lite Latest;IIAB IMAGE on RPiOS Full Latest;""35 min"" IIAB ""LARGE"" on RPiOS Lite Latest;IIAB Desktop IMAGE on RPiOS Latest;""35 min"" IIAB ""LARGE"" on RPiOS Lite Latest;""15 min"" IIAB ""SMALL"" on RPiOS Lite;""20 min"" IIAB ""MEDIUM"" on RPiOS Desktop;""10 min"" IIAB ""TINY"" on RPiOS Lite;""35 min"" IIAB ""LARGE"" on RPiOS Lite;""30 min"" LARGE on Ubuntu 24.04;""35 min"" LARGE on latest RPiOS Lite;""2 min"" Lint on Ubuntu 24.04;""20 min"" UNITTEST IMAGE on latest RPiOS Desktop;""10 min"" UNITTEST IMAGE on latest RPiOS Lite;""15 min"" TINY IMAGE on latest RPiOS Lite;""20 min"" SMALL IMAGE on latest RPiOS Lite;""07 min"" UNITTEST on Ubuntu 24.04;""02 min"" Ansible Lint on Ubuntu 24.04",0,2017-05-28T14:28:40+00:00,2026-04-20T13:23:28+00:00,2026-04-19T17:12:42+00:00,24559
